Sample	posterior	ESS(posterior)	likelihood	prior	
0	-4363.759255790517	3.0	-4362.1791542300125	-1.5801015605050288	
1	-4363.759255790517	3.0	-4362.1791542300125	-1.5801015605050288	
2	-4363.759255790517	3.0	-4362.1791542300125	-1.5801015605050288	
3	-4362.417297628934	3.2	-4361.034041757834	-1.3832558711004146	
4	-4361.209189278163	3.3	-4360.018995833298	-1.1901934448652876	
5	-4359.817864326462	3.4	-4358.282675435537	-1.5351888909248312	
6	-4359.817864326462	3.4	-4358.282675435537	-1.5351888909248312	
7	-4359.817864326462	3.4	-4358.282675435537	-1.5351888909248312	
8	-4356.962572211999	3.7	-4355.305843282127	-1.6567289298722205	
9	-4356.962572211999	3.7	-4355.305843282127	-1.6567289298722205	
10	-4356.663361999964	4.0	-4354.949768642545	-1.7135933574192206	
