Sample	posterior	ESS(posterior)	likelihood	prior	
0	-7901.5310128156725	4.6	-7892.433336442507	-9.097676373165442	
1	-7901.5310128156725	4.6	-7892.433336442507	-9.097676373165442	
2	-7901.5310128156725	4.6	-7892.433336442507	-9.097676373165442	
3	-7901.904011978908	4.7	-7891.907454472241	-9.996557506666722	
4	-7901.904011978908	4.7	-7891.907454472241	-9.996557506666722	
5	-7902.6127655788405	4.8	-7890.617556733054	-11.99520884578694	
6	-7899.744614696579	5.0	-7889.766795139654	-9.977819556925283	
