Sample	posterior	ESS(posterior)	likelihood	prior	
0	-7481.278018090385	2.9	-7474.422819276633	-6.855198813751876	
1	-7481.278018090385	2.9	-7474.422819276633	-6.855198813751876	
2	-7481.278018090385	2.9	-7474.422819276633	-6.855198813751876	
3	-7481.278018090385	2.9	-7474.422819276633	-6.855198813751876	
4	-7481.278018090385	2.9	-7474.422819276633	-6.855198813751876	
5	-7481.278018090385	2.9	-7474.422819276633	-6.855198813751876	
6	-7481.3906742322115	3.0	-7473.6351989135255	-7.755475318685933	
7	-7480.297880953584	3.1	-7473.301207726193	-6.996673227391503	
8	-7479.719369023868	3.3	-7469.873141836867	-9.846227187000936	
9	-7479.719369023868	3.3	-7469.873141836867	-9.846227187000936	
10	-7474.186826051292	3.6	-7466.257707495884	-7.929118555407973	
11	-7472.194365328646	3.7	-7465.272152791752	-6.9222125368944925	
