Sample	posterior	ESS(posterior)	likelihood	prior	
0	-7852.210372806677	2.9	-7839.261509027714	-12.94886377896252	
1	-7852.210372806677	2.9	-7839.261509027714	-12.94886377896252	
2	-7852.764416300361	3.0	-7838.8768683133685	-13.887547986991706	
3	-7848.344603432398	3.2	-7836.022653051719	-12.321950380678702	
4	-7844.73048173066	3.3	-7834.431300319111	-10.299181411549807	
5	-7844.73048173066	3.3	-7834.431300319111	-10.299181411549807	
6	-7848.144568004833	3.4	-7834.407101093954	-13.737466910878233	
7	-7843.65866589617	3.5	-7832.5645839230265	-11.094081973143057	
8	-7840.9932595588025	3.7	-7830.853384632256	-10.139874926546279	
9	-7840.9932595588025	3.7	-7830.853384632256	-10.139874926546279	
10	-7840.9932595588025	3.7	-7830.853384632256	-10.139874926546279	
11	-7840.970114037625	3.6	-7829.143428492222	-11.826685545403064	
12	-7840.970114037625	3.6	-7829.143428492222	-11.826685545403064	
13	-7841.309649631062	3.7	-7828.382200120993	-12.927449510069073	
