Sample	posterior	ESS(posterior)	likelihood	prior	
0	-7116.965044440741	6.5	-7104.389072259283	-12.575972181457047	
1	-7112.149018667181	6.9	-7101.168675176041	-10.980343491140252	
2	-7111.05280304249	7.1	-7099.47198246957	-11.580820572919627	
3	-7116.4476565272	8.1	-7099.356839548907	-17.090816978292416	
4	-7112.036068318815	8.2	-7098.569072431166	-13.466995887648366	
5	-7107.665451625562	8.4	-7096.504593629502	-11.160857996060054	
6	-7107.665451625562	8.4	-7096.504593629502	-11.160857996060054	
7	-7106.066453466647	8.5	-7095.962786262692	-10.103667203954835	
8	-7106.066453466647	8.5	-7095.962786262692	-10.103667203954835	
9	-7106.199336809779	8.6	-7095.305237096552	-10.89409971322719	
10	-7108.872476883754	8.7	-7095.070071275671	-13.802405608083046	
