Sample	NSlikelihood	posterior	ESS(posterior)	likelihood	prior
0	-8220.58751257224	-8237.22212531768	N	-8220.58751257224	-16.63461274543935
1	-7901.893745392458	-7905.373462972675	2.0	-7901.893745392458	-3.479717580217298
2	-6537.228434562002	-6538.66188684401	3.0	-6537.228434562002	-1.4334522820081503
3	-5997.96497019984	-6005.629682362994	4.0	-5997.96497019984	-7.664712163153782
4	-5931.855642757944	-5932.929426471774	3.4	-5931.855642757944	-1.0737837138290462
5	-5865.451376874698	-5870.094470753952	2.8	-5865.451376874698	-4.643093879253463
6	-5780.074273450111	-5783.608500397026	2.9	-5780.074273450111	-3.534226946914265
7	-5453.940018526573	-5457.811356463134	3.1	-5453.940018526573	-3.8713379365609115
8	-5406.7727476667715	-5408.762182111865	3.3	-5406.7727476667715	-1.98943444509315
9	-5391.403096244377	-5393.789237439721	4.2	-5391.403096244377	-2.3861411953442224
10	-5307.40036765014	-5310.525618389806	4.1	-5307.40036765014	-3.125250739666287
11	-5305.19269960889	-5311.377416649076	3.9	-5305.19269960889	-6.184717040185836
12	-5273.237472137193	-5276.447337071207	3.9	-5273.237472137193	-3.2098649340134315
13	-5271.084948092199	-5273.421762055797	3.9	-5271.084948092199	-2.3368139635987895
14	-5231.735762863456	-5231.7256628551	4.0	-5231.735762863456	0.010100008356053403
15	-5227.1411495458315	-5228.417023905851	4.1	-5227.1411495458315	-1.275874360019889
16	-5224.145455335853	-5226.354269968754	4.3	-5224.145455335853	-2.208814632901094
17	-5214.682309770695	-5217.454134207653	4.4	-5214.682309770695	-2.771824436957662
18	-5209.234930768494	-5211.069653484707	4.4	-5209.234930768494	-1.8347227162125161
19	-5204.673925860219	-5206.208824549234	3.4	-5204.673925860219	-1.53489868901478
20	-5190.579343845667	-5192.851692519771	3.5	-5190.579343845667	-2.272348674104278
21	-5184.603364848525	-5185.532499253542	3.6	-5184.603364848525	-0.929134405016453
22	-5181.99586341609	-5183.459593595676	3.7	-5181.99586341609	-1.4637301795857534
23	-5179.689373255627	-5183.3401898366765	3.8	-5179.689373255627	-3.650816581049601
24	-5176.750982400142	-5179.072123499316	3.9	-5176.750982400142	-2.321141099174014
25	-5175.627567665405	-5178.298658141411	4.0	-5175.627567665405	-2.6710904760059275
26	-5171.282196073493	-5172.316371443477	4.1	-5171.282196073493	-1.0341753699836729
27	-5164.700040727214	-5166.785293375552	4.2	-5164.700040727214	-2.085252648337715
28	-5161.4215901373855	-5163.656773075777	4.3	-5161.4215901373855	-2.2351829383916337
29	-5161.409063793224	-5163.406504235148	4.1	-5161.409063793224	-1.9974404419237488
30	-5155.502963989391	-5157.26018709575	4.2	-5155.502963989391	-1.7572231063590718
31	-5152.5783633749315	-5154.187249332358	4.3	-5152.5783633749315	-1.6088859574266252
32	-5152.292516527096	-5154.469094551107	4.4	-5152.292516527096	-2.1765780240114854
33	-5151.158919714295	-5152.731996090213	4.4	-5151.158919714295	-1.573076375918292
34	-5150.051029331575	-5151.987646311688	4.5	-5150.051029331575	-1.9366169801129534
35	-5148.802022547585	-5151.641649415836	4.6	-5148.802022547585	-2.839626868250532
36	-5148.613114710524	-5150.281364273063	4.7	-5148.613114710524	-1.6682495625389728
37	-5148.429249201696	-5150.463928262074	4.7	-5148.429249201696	-2.0346790603776665
38	-5147.316060375202	-5149.489426091381	4.8	-5147.316060375202	-2.173365716178836
39	-5146.971493931509	-5148.954351025437	5.2	-5146.971493931509	-1.982857093927679
40	-5146.574196840417	-5150.2457214694905	5.2	-5146.574196840417	-3.6715246290730947
41	-5145.939874051214	-5147.988892825497	5.3	-5145.939874051214	-2.049018774282115
42	-5144.860964967851	-5146.677938186204	5.4	-5144.860964967851	-1.816973218353429
43	-5144.126178098713	-5146.235332513001	5.4	-5144.126178098713	-2.1091544142871776
44	-5143.788740195016	-5146.188125615133	5.5	-5143.788740195016	-2.399385420117253
45	-5143.786186661477	-5145.5439489641785	5.6	-5143.786186661477	-1.7577623027015163
46	-5142.754115833532	-5145.452505810713	5.7	-5142.754115833532	-2.698389977181701
47	-5142.557274317663	-5144.402005774719	5.7	-5142.557274317663	-1.8447314570569695
48	-5142.476301211626	-5144.203239171784	5.8	-5142.476301211626	-1.7269379601577808
49	-5142.213287656805	-5144.207154316029	5.9	-5142.213287656805	-1.9938666592246321
50	-5142.021631364949	-5144.288102719038	6.0	-5142.021631364949	-2.2664713540890107
51	-5141.9219890548	-5144.804061457948	6.0	-5141.9219890548	-2.882072403147485
52	-5141.8336538552085	-5143.862900515406	6.1	-5141.8336538552085	-2.029246660198129
53	-5141.802032281058	-5143.57273475436	6.2	-5141.802032281058	-1.7707024733018248
54	-5141.724239380121	-5143.587281828187	6.3	-5141.724239380121	-1.8630424480661958
55	-5141.722412096403	-5143.567962316755	6.3	-5141.722412096403	-1.8455502203519618
56	-5141.710568611992	-5143.786717158749	6.4	-5141.710568611992	-2.076148546756275
