Sample	posterior	ESS(posterior)	likelihood	prior	
0	-5154.187249332358	4.3	-5152.5783633749315	-1.6088859574266252	
1	-5154.187249332358	4.3	-5152.5783633749315	-1.6088859574266252	
2	-5154.187249332358	4.3	-5152.5783633749315	-1.6088859574266252	
3	-5151.987646311688	4.5	-5150.051029331575	-1.9366169801129534	
4	-5151.641649415836	4.6	-5148.802022547585	-2.839626868250532	
5	-5151.641649415836	4.6	-5148.802022547585	-2.839626868250532	
6	-5151.641649415836	4.6	-5148.802022547585	-2.839626868250532	
7	-5151.641649415836	4.6	-5148.802022547585	-2.839626868250532	
8	-5149.489426091381	4.8	-5147.316060375202	-2.173365716178836	
9	-5148.954351025437	5.2	-5146.971493931509	-1.982857093927679	
