Sample	posterior	ESS(posterior)	likelihood	prior	
0	-5694.366001664687	4.2	-5692.002809438238	-2.363192226449874	
1	-5694.366001664687	4.2	-5692.002809438238	-2.363192226449874	
2	-5694.366001664687	4.2	-5692.002809438238	-2.363192226449874	
3	-5694.366001664687	4.2	-5692.002809438238	-2.363192226449874	
4	-5695.270052579068	4.3	-5690.788609399297	-4.481443179771592	
5	-5693.381923357761	4.4	-5689.906662132339	-3.475261225421804	
6	-5693.381923357761	4.4	-5689.906662132339	-3.475261225421804	
7	-5692.09849126048	4.6	-5688.571060111986	-3.527431148493889	
8	-5691.311438997035	4.8	-5688.123839413962	-3.187599583073615	
9	-5686.852726553413	5.1	-5683.717170506549	-3.1355560468641515	
