Sample	posterior	ESS(posterior)	likelihood	prior	
0	-3675.6320806485087	3.0	-3677.519081597252	1.8870009487432569	
1	-3662.8624009807595	3.2	-3665.0195101999466	2.157109219186963	
2	-3662.8624009807595	3.2	-3665.0195101999466	2.157109219186963	
3	-3662.8624009807595	3.2	-3665.0195101999466	2.157109219186963	
4	-3664.789651878187	3.3	-3664.993939087726	0.20428720953896207	
5	-3662.880077791701	3.3	-3664.203985760752	1.3239079690509534	
6	-3660.2111725209525	3.5	-3661.8598482625853	1.6486757416328768	
7	-3660.2111725209525	3.5	-3661.8598482625853	1.6486757416328768	
8	-3659.5215113563204	3.6	-3661.272741167647	1.7512298113264144	
