Sample	NSlikelihood	posterior	ESS(posterior)	likelihood	prior
0	-4664.0598810313595	-4657.447901705622	N	-4664.0598810313595	6.611979325737522
1	-4542.348131758817	-4543.930869447999	2.0	-4542.348131758817	-1.5827376891820908
2	-4427.982713169088	-4431.536569540012	3.0	-4427.982713169088	-3.5538563709242967
3	-4353.959658461308	-4351.2959951560115	4.0	-4353.959658461308	2.663663305297134
4	-4170.181161578416	-4170.296643086759	3.0	-4170.181161578416	-0.11548150834274296
5	-4098.8203912187955	-4098.2419836727695	2.5	-4098.8203912187955	0.5784075460261606
6	-4061.552595468942	-4062.8883320890627	2.3	-4061.552595468942	-1.335736620120887
7	-3981.1274281747396	-3979.0125328561157	2.4	-3981.1274281747396	2.1148953186239403
8	-3940.254172085331	-3941.6710349484383	2.6	-3940.254172085331	-1.4168628631071618
9	-3887.0686785922753	-3887.351208633587	2.6	-3887.0686785922753	-0.28253004131130455
10	-3874.8866741543925	-3872.1806627605133	2.8	-3874.8866741543925	2.7060113938792654
11	-3867.1452422471702	-3866.4669051764113	2.7	-3867.1452422471702	0.6783370707588618
12	-3843.0039883541976	-3844.442366280443	2.7	-3843.0039883541976	-1.4383779262454814
13	-3780.774842198922	-3779.5388375341945	2.7	-3780.774842198922	1.236004664727835
14	-3755.3852950263345	-3752.516913966056	2.8	-3755.3852950263345	2.868381060278282
15	-3730.60962466833	-3728.7320356419937	2.9	-3730.60962466833	1.8775890263363486
16	-3716.9666711598447	-3714.439720002231	2.9	-3716.9666711598447	2.5269511576138326
17	-3713.054347704632	-3713.2511696540896	2.9	-3713.054347704632	-0.19682194945734754
18	-3698.9443877344693	-3698.002740154989	2.9	-3698.9443877344693	0.9416475794803307
19	-3696.8963791419983	-3697.0998148726558	2.9	-3696.8963791419983	-0.20343573065741416
20	-3678.719883300413	-3677.3809572149726	2.9	-3678.719883300413	1.3389260854405396
21	-3678.36228310552	-3676.3669890908745	3.0	-3678.36228310552	1.9952940146456186
22	-3677.519081597252	-3675.6320806485087	3.0	-3677.519081597252	1.8870009487432569
23	-3677.2541652468044	-3675.7692584481515	3.0	-3677.2541652468044	1.4849067986528492
24	-3677.193047073725	-3676.969502027719	3.0	-3677.193047073725	0.22354504600612235
25	-3675.659751503295	-3673.637002746155	3.0	-3675.659751503295	2.022748757140333
26	-3671.200282668797	-3669.2019619997454	3.1	-3671.200282668797	1.9983206690519362
27	-3670.5435178073158	-3669.5563639305965	3.1	-3670.5435178073158	0.9871538767190815
28	-3669.4062208733744	-3668.366296630088	3.2	-3669.4062208733744	1.039924243286463
29	-3665.6611820318517	-3663.535866829926	3.2	-3665.6611820318517	2.1253152019256074
30	-3665.0195101999466	-3662.8624009807595	3.2	-3665.0195101999466	2.157109219186963
31	-3664.993939087726	-3664.789651878187	3.3	-3664.993939087726	0.20428720953896207
32	-3664.203985760752	-3662.880077791701	3.3	-3664.203985760752	1.3239079690509534
33	-3663.898084234943	-3661.7590694584437	3.4	-3663.898084234943	2.1390147764993555
34	-3661.8598482625853	-3660.2111725209525	3.5	-3661.8598482625853	1.6486757416328768
35	-3661.5226744459537	-3660.0313308287314	3.5	-3661.5226744459537	1.4913436172222858
36	-3661.272741167647	-3659.5215113563204	3.6	-3661.272741167647	1.7512298113264144
37	-3661.1250062550057	-3659.1600734448134	3.7	-3661.1250062550057	1.9649328101921233
38	-3661.11043712539	-3661.701389508764	3.7	-3661.11043712539	-0.590952383373675
39	-3660.91374038116	-3658.872498316891	3.7	-3660.91374038116	2.041242064269439
40	-3660.875488382488	-3659.5344846947737	3.7	-3660.875488382488	1.341003687714277
41	-3660.6033521064755	-3658.8418709748685	3.8	-3660.6033521064755	1.7614811316069034
42	-3660.594163964927	-3658.556746790025	3.9	-3660.594163964927	2.037417174901827
43	-3660.5464167181176	-3658.679772165743	4.0	-3660.5464167181176	1.866644552374649
44	-3660.3325549588844	-3658.4518631857977	4.0	-3660.3325549588844	1.8806917730865789
45	-3660.2167708598563	-3658.5163131976365	4.1	-3660.2167708598563	1.7004576622198455
46	-3660.0774864408877	-3658.421380301897	4.2	-3660.0774864408877	1.656106138990663
47	-3660.033484650569	-3658.5695594747845	4.2	-3660.033484650569	1.4639251757844443
48	-3660.0321768037584	-3658.18704855382	4.3	-3660.0321768037584	1.8451282499383357
49	-3659.7203731466966	-3657.6866953003405	4.4	-3659.7203731466966	2.0336778463560314
50	-3659.427164264857	-3657.4259643540313	4.5	-3659.427164264857	2.0011999108253713
51	-3659.4117945058483	-3657.771495373958	4.6	-3659.4117945058483	1.6402991318903581
52	-3659.407645655439	-3657.8114526717704	4.7	-3659.407645655439	1.59619298366846
53	-3659.407246954619	-3657.6842798564903	4.8	-3659.407246954619	1.7229670981286616
54	-3659.405159661306	-3658.0170176838537	4.8	-3659.405159661306	1.3881419774522097
55	-3659.4012724587583	-3657.4524829286784	4.9	-3659.4012724587583	1.948789530079942
56	-3659.3911381397957	-3657.7606749058696	5.0	-3659.3911381397957	1.630463233925972
57	-3659.38646376584	-3657.376631460153	5.1	-3659.38646376584	2.00983230568674
58	-3659.376409675824	-3657.659657374089	5.2	-3659.376409675824	1.716752301734995
