Sample	posterior	ESS(posterior)	likelihood	prior	
0	-4923.211131273139	3.2	-4922.068947826026	-1.142183447112808	
1	-4922.300034545082	3.3	-4920.456637363448	-1.8433971816337869	
2	-4922.300034545082	3.3	-4920.456637363448	-1.8433971816337869	
3	-4921.572865557016	3.4	-4920.068240028121	-1.50462552889452	
4	-4921.023243777625	3.4	-4919.221443027101	-1.8018007505247222	
5	-4921.023243777625	3.4	-4919.221443027101	-1.8018007505247222	
6	-4920.4399081351585	3.5	-4918.703786078081	-1.7361220570772204	
7	-4916.481613086595	3.6	-4915.365059995611	-1.1165530909837622	
8	-4916.813989609631	3.7	-4915.109717871957	-1.7042717376736722	
9	-4916.813989609631	3.7	-4915.109717871957	-1.7042717376736722	
10	-4916.293453171956	3.8	-4914.470823372375	-1.8226297995807272	
