Sample	posterior	ESS(posterior)	likelihood	prior	
0	-6696.61429242833	5.2	-6688.834901506925	-7.779390921405028	
1	-6698.658824910128	5.3	-6687.78190724898	-10.87691766114726	
2	-6694.443364142202	5.6	-6685.153785276994	-9.289578865207638	
3	-6693.744919316241	5.7	-6683.825354636324	-9.91956467991688	
4	-6693.744919316241	5.7	-6683.825354636324	-9.91956467991688	
5	-6692.054629414879	5.7	-6683.437169373624	-8.617460041254864	
6	-6692.054629414879	5.7	-6683.437169373624	-8.617460041254864	
7	-6692.054629414879	5.7	-6683.437169373624	-8.617460041254864	
8	-6692.054629414879	5.7	-6683.437169373624	-8.617460041254864	
9	-6692.41252564464	5.8	-6683.12640370393	-9.286121940709197	
