Sample	posterior	ESS(posterior)	likelihood	prior	
0	-3145.5093655413557	2.9	-3150.1339099427414	4.624544401385607	
1	-3145.5093655413557	2.9	-3150.1339099427414	4.624544401385607	
2	-3145.803412979188	2.9	-3149.605056905964	3.801643926775771	
3	-3143.6338378953137	2.8	-3147.3156372594894	3.681799364175853	
4	-3142.066063554352	2.8	-3146.2193589104572	4.153295356105476	
5	-3140.0994887565885	3.0	-3144.659593238391	4.560104481802601	
6	-3140.0994887565885	3.0	-3144.659593238391	4.560104481802601	
7	-3138.5384213263465	3.1	-3143.225745748578	4.687324422231426	
8	-3137.7299762177277	3.1	-3142.055389062908	4.325412845180511	
9	-3137.7299762177277	3.1	-3142.055389062908	4.325412845180511	
10	-3136.378117512585	3.2	-3141.030446262291	4.6523287497062205	
