"","site_model_name","clock_model_name","tree_prior_name","marg_log_lik","marg_log_lik_sd","weight","ess"
"1","GTR","relaxed_log_normal","birth_death",-3032.50916335886,5.19959566721402,0.0000717837688337409,6.51664914153081
"2","GTR","relaxed_log_normal","yule",-3047.74471557917,5.95842915147651,1.73504202385361e-11,9.88161650901403
"3","GTR","strict","birth_death",-3038.4235291955,6.42163045154586,0.000000193842860231532,6.25402187008269
"4","GTR","strict","yule",-3043.84399171114,5.55777404757386,0.000000000857773943251172,8.2802779806741
"5","HKY","relaxed_log_normal","birth_death",-3046.01843056147,6.27601956751675,9.7504813404906e-11,8.95984237713613
"6","HKY","relaxed_log_normal","yule",-3029.0443926666,4.38950726517396,0.00229486450593012,7.08136491191007
"7","HKY","strict","birth_death",-3036.17813938034,5.16167644279064,0.00000183067063733222,5.15727951290592
"8","HKY","strict","yule",-3030.52026767705,4.05208631305128,0.000524556986693009,7.38606217907763
"9","JC69","relaxed_log_normal","birth_death",-3025.7494759907,4.58301275840294,0.0619043516713817,8.56035862579846
"10","JC69","relaxed_log_normal","yule",-3026.93296197978,4.56194507555064,0.0189556964348625,5.51889335547298
"11","JC69","strict","birth_death",-3023.36523738724,3.74077201484058,0.671711600394764,7.11318964102046
"12","TN93","relaxed_log_normal","birth_death",-3041.7936168064,6.05167450117258,0.00000000666560166003138,9.11170223351817
"13","TN93","relaxed_log_normal","yule",-3035.40128174525,4.29709041716054,0.00000398102770498451,10.2727847652161
"14","TN93","strict","birth_death",-3024.37576090906,3.45500316726329,0.244522067509602,8.84215122615148
"15","TN93","strict","yule",-3034.57834039879,4.78353290719035,0.00000906554849934695,9.42719912578953
