Sample	NSlikelihood	posterior	ESS(posterior)	likelihood	prior
0	-8332.287788752677	-8348.785868240659	N	-8332.287788752677	-16.498079487981748
1	-8297.727915780899	-8312.314589086845	2.0	-8297.727915780899	-14.586673305947283
2	-8126.820008877422	-8138.995268806656	3.0	-8126.820008877422	-12.175259929234379
3	-7997.695062979313	-8006.686611760423	4.0	-7997.695062979313	-8.99154878111025
4	-7958.471649446532	-7966.786052454141	3.1	-7958.471649446532	-8.314403007608748
5	-7951.598856056709	-7959.267778094741	2.5	-7951.598856056709	-7.668922038031
6	-7941.652660451977	-7949.7148163491165	2.5	-7941.652660451977	-8.062155897140054
7	-7883.710965949287	-7891.277101076194	2.7	-7883.710965949287	-7.566135126907569
8	-7882.018751838346	-7891.039317303751	2.9	-7882.018751838346	-9.020565465404587
9	-7875.741533102036	-7883.039457692897	3.6	-7875.741533102036	-7.297924590860983
10	-7874.648662265676	-7881.875662613043	3.8	-7874.648662265676	-7.22700034736657
11	-7874.62636181578	-7882.156445666471	3.8	-7874.62636181578	-7.5300838506906
12	-7870.80751690979	-7877.65031639601	3.8	-7870.80751690979	-6.842799486219848
13	-7863.56166952436	-7872.64362252297	3.9	-7863.56166952436	-9.081952998610435
14	-7860.81062786373	-7869.446588653448	4.0	-7860.81062786373	-8.63596078971872
15	-7859.234027333047	-7866.547859434315	4.2	-7859.234027333047	-7.313832101267194
16	-7858.745745109337	-7865.681996418797	4.4	-7858.745745109337	-6.936251309459806
17	-7857.663467228447	-7866.7344491251615	4.6	-7857.663467228447	-9.070981896714436
18	-7855.854598631987	-7863.63113130488	4.7	-7855.854598631987	-7.77653267289276
19	-7855.665620406139	-7863.198870755497	4.2	-7855.665620406139	-7.533250349357922
20	-7853.978672517206	-7861.81412138748	4.4	-7853.978672517206	-7.83544887027302
21	-7853.824191487433	-7861.45328468228	4.5	-7853.824191487433	-7.6290931948466465
22	-7852.962070143794	-7862.372889851754	4.6	-7852.962070143794	-9.410819707959313
23	-7852.794547755878	-7861.744895270513	4.8	-7852.794547755878	-8.950347514634387
24	-7852.681407414709	-7860.217521800286	4.9	-7852.681407414709	-7.5361143855774415
25	-7852.529421011046	-7859.926523977747	5.0	-7852.529421011046	-7.397102966701274
26	-7852.119715351384	-7859.815848399873	5.2	-7852.119715351384	-7.696133048489395
27	-7851.78357932141	-7859.765913333464	5.3	-7851.78357932141	-7.9823340120541735
28	-7851.768264868896	-7859.5888193226065	5.4	-7851.768264868896	-7.820554453710789
29	-7851.7355427558905	-7861.672544083641	4.5	-7851.7355427558905	-9.937001327750577
30	-7851.599000017466	-7859.797342157869	4.6	-7851.599000017466	-8.198342140402906
31	-7851.592358343274	-7859.170111735583	4.7	-7851.592358343274	-7.577753392309336
32	-7851.452286488739	-7858.8407903315065	4.8	-7851.452286488739	-7.388503842767304
33	-7851.441134294792	-7858.784859016313	4.9	-7851.441134294792	-7.343724721520185
34	-7851.436004159627	-7858.776741601218	5.0	-7851.436004159627	-7.340737441590595
35	-7851.38484998722	-7858.6900989399655	5.1	-7851.38484998722	-7.305248952745614
36	-7851.352690374429	-7859.005566809672	5.2	-7851.352690374429	-7.652876435243209
37	-7851.332286708555	-7858.865094449465	5.3	-7851.332286708555	-7.532807740909674
38	-7851.329637620887	-7862.202942986828	5.4	-7851.329637620887	-10.873305365940862
39	-7851.297877189715	-7860.691450350464	5.5	-7851.297877189715	-9.393573160749026
40	-7851.290533738052	-7858.777582123779	5.6	-7851.290533738052	-7.487048385727619
