Sample	posterior	ESS(posterior)	likelihood	prior	
0	-7869.446588653448	4.0	-7860.81062786373	-8.63596078971872	
1	-7865.681996418797	4.4	-7858.745745109337	-6.936251309459806	
2	-7866.7344491251615	4.6	-7857.663467228447	-9.070981896714436	
3	-7866.7344491251615	4.6	-7857.663467228447	-9.070981896714436	
4	-7863.63113130488	4.7	-7855.854598631987	-7.77653267289276	
5	-7863.63113130488	4.7	-7855.854598631987	-7.77653267289276	
6	-7863.198870755497	4.2	-7855.665620406139	-7.533250349357922	
7	-7861.81412138748	4.4	-7853.978672517206	-7.83544887027302	
8	-7861.81412138748	4.4	-7853.978672517206	-7.83544887027302	
9	-7861.45328468228	4.5	-7853.824191487433	-7.6290931948466465	
