"","site_model_name","clock_model_name","tree_prior_name","marg_log_lik","marg_log_lik_sd","weight","ess"
"1","GTR","relaxed_log_normal","birth_death",-6340.19407846112,4.57500778786398,0.00000222152280102574,7.80866236845825
"2","GTR","relaxed_log_normal","yule",-6341.47764240215,5.32268283514234,0.000000615468794608243,8.81238376574728
"3","GTR","strict","birth_death",-6350.03136253105,6.43716232515239,0.000000000118678647025371,8.60501807817687
"4","GTR","strict","yule",-6343.05522446155,5.05401066288737,0.000000127078141631921,9.18686595565761
"5","HKY","relaxed_log_normal","birth_death",-6342.51787161188,5.9054012804502,0.000000217490470409673,6.02111701267204
"6","HKY","relaxed_log_normal","yule",-6340.6541226902,5.59202965571159,0.00000140234898642053,8.02642562524835
"7","HKY","strict","birth_death",-6342.37784277616,5.59007391474653,0.000000250180803651135,7.06608929018381
"8","HKY","strict","yule",-6336.67771118051,4.3577095176591,0.0000747807267305739,13.8564587132553
"9","JC69","relaxed_log_normal","birth_death",-6330.12322153055,3.51769255924636,0.0525252790131382,7.43871978581294
"10","JC69","relaxed_log_normal","yule",-6332.8852222019,5.28463294843617,0.00331777337375605,6.50380126371518
"11","JC69","strict","birth_death",-6327.8229196184,3.092358447463,0.524054911030212,7.97762270226555
"12","TN93","relaxed_log_normal","birth_death",-6340.23541600564,5.71842391562956,0.00000213156267852452,9.72601683959105
"13","TN93","relaxed_log_normal","yule",-6342.45526628783,5.28561775838963,0.000000231541786251797,4.55135266162209
"14","TN93","strict","birth_death",-6348.22013401093,6.6142244602031,0.000000000726071079217164,7.78106284636497
"15","TN93","strict","yule",-6328.04421362243,4.07175186256216,0.420020057816951,6.02608951427144
