Sample	posterior	ESS(posterior)	likelihood	prior	
0	-6927.429103177295	6.2	-6917.0220626468235	-10.407040530471154	
1	-6927.429103177295	6.2	-6917.0220626468235	-10.407040530471154	
2	-6926.094562300169	6.4	-6916.572455078776	-9.52210722139223	
3	-6926.094562300169	6.4	-6916.572455078776	-9.52210722139223	
4	-6925.462458300228	6.5	-6915.494129900096	-9.96832840013214	
5	-6924.31014634667	6.7	-6914.465585684482	-9.844560662187666	
6	-6924.002772956578	6.8	-6912.707806840844	-11.294966115734937	
7	-6924.002772956578	6.8	-6912.707806840844	-11.294966115734937	
8	-6924.002772956578	6.8	-6912.707806840844	-11.294966115734937	
9	-6923.685515714172	7.1	-6911.923273433412	-11.762242280759445	
