"","site_model_name","clock_model_name","tree_prior_name","marg_log_lik","marg_log_lik_sd","weight","ess"
"1","GTR","relaxed_log_normal","birth_death",-7263.88103845796,5.34273673313473,0.000000118469296947256,8.90695515681163
"2","GTR","relaxed_log_normal","yule",-7266.43414128999,5.35024701964018,0.00000000922162249309444,15.0253843977332
"3","GTR","strict","birth_death",-7276.21538109084,6.61102514426416,5.21037363726574e-13,6.67457457561543
"4","GTR","strict","yule",-7269.28387945108,5.19710369689405,0.000000000533558178479145,11.5393078228353
"5","HKY","relaxed_log_normal","birth_death",-7258.90895234227,5.17250186164201,0.0000170983961414948,4.40439619928228
"6","HKY","relaxed_log_normal","yule",-7265.45917722621,5.18971610674071,0.0000000244471846306305,9.87391693797493
"7","HKY","strict","birth_death",-7250.30061208106,3.83939606779132,0.0936504888126508,7.22403211460162
"8","HKY","strict","yule",-7254.86432663125,3.95237117172007,0.000976144254502072,8.37536633638999
"9","JC69","relaxed_log_normal","birth_death",-7252.08597475355,4.33808973684281,0.0157085786813529,8.01551111420356
"10","JC69","relaxed_log_normal","yule",-7248.05460297788,3.38858005606233,0.884992129389118,3.82375272047932
"11","JC69","strict","birth_death",-7254.82428113207,4.70132477298202,0.00101602768462336,4.71018777323957
"12","TN93","relaxed_log_normal","birth_death",-7253.76147865582,4.4197077277688,0.00294086299410501,8.20075542457649
"13","TN93","relaxed_log_normal","yule",-7267.18895250997,6.47863169076917,0.00000000433507875583556,5.89169540609975
"14","TN93","strict","birth_death",-7260.52655863027,4.72235000479847,0.00000339185977857791,9.56104425271063
"15","TN93","strict","yule",-7255.20385119177,4.78976715840223,0.000695120920465362,12.3024266884706
