Sample	NSlikelihood	posterior	ESS(posterior)	likelihood	prior
39	-6653.655203723299	-6662.381990225731	3.6	-6653.655203723299	-8.726786502432706
40	-6653.55306141749	-6664.105560353119	3.7	-6653.55306141749	-10.552498935628472
41	-6653.409393004731	-6663.066454140529	3.7	-6653.409393004731	-9.65706113579736
42	-6653.308891084749	-6662.438666236159	3.8	-6653.308891084749	-9.129775151409978
43	-6653.045632814107	-6662.669987756728	3.8	-6653.045632814107	-9.624354942620856
44	-6653.029327945605	-6661.879649996047	3.8	-6653.029327945605	-8.850322050442635
45	-6652.929123278488	-6662.678326329654	3.9	-6652.929123278488	-9.749203051165932
46	-6652.8734288595615	-6664.919346930878	3.9	-6652.8734288595615	-12.045918071316635
47	-6652.588250232815	-6661.0677656454745	4.0	-6652.588250232815	-8.479515412659897
48	-6652.578470920882	-6661.931734276769	4.0	-6652.578470920882	-9.353263355887355
49	-6652.49706933788	-6662.56654210635	3.8	-6652.49706933788	-10.069472768470678
50	-6652.429259751936	-6665.386510240312	3.9	-6652.429259751936	-12.957250488376028
51	-6652.388865907459	-6661.955441967177	3.9	-6652.388865907459	-9.566576059717221
52	-6652.375728211597	-6661.668783404191	4.0	-6652.375728211597	-9.293055192594913
53	-6651.947530926534	-6662.709692724799	4.0	-6651.947530926534	-10.762161798266009
54	-6651.886286859323	-6662.502589346482	4.0	-6651.886286859323	-10.616302487158894
55	-6651.852020253516	-6661.377308293292	4.1	-6651.852020253516	-9.525288039776921
56	-6651.753962678664	-6661.065388056754	4.1	-6651.753962678664	-9.311425378090302
57	-6651.737962078471	-6661.431316809653	4.2	-6651.737962078471	-9.69335473118193
58	-6651.724783198225	-6661.55659305295	4.2	-6651.724783198225	-9.831809854725224
59	-6651.703511145452	-6662.229309559312	4.1	-6651.703511145452	-10.525798413860437
60	-6651.703307865059	-6663.310845146625	4.1	-6651.703307865059	-11.607537281566076
61	-6651.699534623018	-6662.094744361893	4.2	-6651.699534623018	-10.395209738875485
62	-6651.697070275009	-6663.786138306942	4.2	-6651.697070275009	-12.089068031933506
63	-6651.685432181711	-6661.618082865196	4.3	-6651.685432181711	-9.932650683485337
64	-6651.684394994183	-6662.815550873784	4.3	-6651.684394994183	-11.131155879600634
65	-6651.682907502926	-6661.738514274101	4.4	-6651.682907502926	-10.055606771175274
66	-6651.670588397552	-6662.231558806904	4.4	-6651.670588397552	-10.560970409351912
