Sample	posterior	ESS(posterior)	likelihood	prior	
0	-2814.1339164296724	3.7	-2819.178567565274	5.044651135601745	
1	-2809.9429272196994	3.9	-2815.757663806845	5.814736587145683	
2	-2809.9429272196994	3.9	-2815.757663806845	5.814736587145683	
3	-2809.7696801572124	4.0	-2815.01840986397	5.248729706757634	
4	-2809.7696801572124	4.0	-2815.01840986397	5.248729706757634	
5	-2807.434029093032	4.1	-2813.2492858542864	5.8152567612542745	
6	-2806.7526212252683	4.2	-2811.846714084689	5.094092859421088	
7	-2806.7526212252683	4.2	-2811.846714084689	5.094092859421088	
8	-2806.7526212252683	4.2	-2811.846714084689	5.094092859421088	
9	-2805.6376189105254	4.1	-2810.75449027012	5.116871359594847	
10	-2805.6376189105254	4.1	-2810.75449027012	5.116871359594847	
11	-2804.203221792674	4.3	-2809.611433220415	5.408211427741036	
12	-2803.3548267736014	4.4	-2808.740296559431	5.38546978582975	
