Sample	posterior	ESS(posterior)	likelihood	prior	
0	-2904.786395782604	3.2	-2910.2482483971994	5.461852614595437	
1	-2903.129864852418	3.3	-2908.41149690745	5.281632055031684	
2	-2903.129864852418	3.3	-2908.41149690745	5.281632055031684	
3	-2904.225707375894	3.3	-2908.2408580277133	4.01515065181904	
4	-2904.225707375894	3.3	-2908.2408580277133	4.01515065181904	
5	-2903.325439134348	3.3	-2907.983808821812	4.658369687464063	
6	-2901.788964441609	3.4	-2907.113117909177	5.324153467568021	
7	-2901.788964441609	3.4	-2907.113117909177	5.324153467568021	
8	-2897.675381736066	3.5	-2902.2399720614408	4.5645903253748195	
9	-2897.675381736066	3.5	-2902.2399720614408	4.5645903253748195	
10	-2897.675381736066	3.5	-2902.2399720614408	4.5645903253748195	
11	-2897.675381736066	3.5	-2902.2399720614408	4.5645903253748195	
