Sample	NSlikelihood	posterior	ESS(posterior)	likelihood	prior
0	-3989.8266299903094	-3985.9396161619534	N	-3989.8266299903094	3.887013828356194
1	-3825.3554807644014	-3817.0331874493363	2.0	-3825.3554807644014	8.322293315064995
2	-3144.6805418790536	-3143.093706595148	3.0	-3144.6805418790536	1.5868352839058733
3	-3044.1041704844533	-3037.483701050556	4.0	-3044.1041704844533	6.620469433897183
4	-3038.2285330135273	-3033.5802931298704	3.9	-3038.2285330135273	4.648239883656998
5	-2999.550221601239	-2997.2034841988648	3.3	-2999.550221601239	2.346737402374215
6	-2981.30402228742	-2976.4014611068037	3.3	-2981.30402228742	4.902561180616328
7	-2935.809562114866	-2932.2209511384244	3.6	-2935.809562114866	3.5886109764414638
8	-2862.186269574796	-2860.1577160943684	3.8	-2862.186269574796	2.0285534804276484
9	-2853.535916017382	-2848.3815562250747	5.4	-2853.535916017382	5.154359792307282
10	-2809.2566616302056	-2802.587088949597	5.2	-2809.2566616302056	6.669572680608992
11	-2796.188886439905	-2789.8137431417945	4.8	-2796.188886439905	6.375143298110538
12	-2781.5888464082195	-2775.321747583872	4.6	-2781.5888464082195	6.267098824347657
13	-2771.668241478865	-2766.9362807905186	4.6	-2771.668241478865	4.731960688346677
14	-2763.047555469744	-2758.9093852997053	4.6	-2763.047555469744	4.138170170038945
15	-2760.430311462564	-2754.0260105080283	4.5	-2760.430311462564	6.404300954535789
16	-2751.391968440843	-2746.1138482909737	4.4	-2751.391968440843	5.278120149869018
17	-2751.1387604318015	-2746.6062266569306	4.4	-2751.1387604318015	4.532533774870682
18	-2749.5795755810127	-2744.0057820731163	4.4	-2749.5795755810127	5.573793507896614
19	-2746.569755726465	-2741.6224881852763	2.7	-2746.569755726465	4.947267541188533
20	-2740.7342620975055	-2735.8906882929227	2.7	-2740.7342620975055	4.843573804582762
21	-2739.5691096642518	-2733.6234883065863	2.8	-2739.5691096642518	5.945621357665503
22	-2737.8759485034157	-2731.716693818447	2.9	-2737.8759485034157	6.159254684968987
23	-2737.7976237751914	-2732.095534975874	3.0	-2737.7976237751914	5.702088799317219
24	-2737.1624504932247	-2733.6749766534385	3.1	-2737.1624504932247	3.4874738397860767
25	-2736.8951543074963	-2731.083409067966	3.2	-2736.8951543074963	5.811745239530202
26	-2735.711052590897	-2731.286771860739	3.2	-2735.711052590897	4.424280730157781
27	-2733.5888715856345	-2728.955659824989	3.3	-2733.5888715856345	4.633211760645473
28	-2733.508747285962	-2729.2164522053627	3.4	-2733.508747285962	4.292295080599225
29	-2733.3825316926186	-2727.8758435281106	3.5	-2733.3825316926186	5.5066881645081125
30	-2732.373565680378	-2728.36664764717	3.6	-2732.373565680378	4.006918033207958
31	-2732.212388951805	-2726.1469885261126	3.7	-2732.212388951805	6.0654004256925855
32	-2731.390521958256	-2726.0063551533867	3.8	-2731.390521958256	5.384166804869619
33	-2731.340443243201	-2725.7670413985247	3.9	-2731.340443243201	5.573401844676457
34	-2731.2553723545448	-2726.1399270658276	4.0	-2731.2553723545448	5.115445288717249
35	-2731.094802284369	-2726.5621768497085	4.0	-2731.094802284369	4.532625434660637
36	-2731.059481363796	-2725.276588030447	4.1	-2731.059481363796	5.782893333348814
37	-2731.0496483161764	-2725.456822902159	4.2	-2731.0496483161764	5.592825414017818
38	-2731.0479188118084	-2728.0820323761577	4.3	-2731.0479188118084	2.9658864356507353
39	-2731.033817558785	-2725.274132116696	4.7	-2731.033817558785	5.759685442088924
40	-2731.031279980015	-2725.6437073111447	4.8	-2731.031279980015	5.38757266887004
41	-2731.0221136089535	-2725.36993602782	4.9	-2731.0221136089535	5.652177581133388
42	-2731.018020286432	-2725.5679971656887	4.9	-2731.018020286432	5.450023120743425
43	-2731.0153667017735	-2725.792307349499	5.0	-2731.0153667017735	5.223059352274546
44	-2731.014628615199	-2725.302311610842	5.2	-2731.014628615199	5.712317004356907
45	-2731.0132620649865	-2725.2914019081118	5.2	-2731.0132620649865	5.721860156874931
46	-2731.011659698799	-2725.9479784796467	5.3	-2731.011659698799	5.063681219152419
47	-2731.0109225070796	-2725.6051313376665	5.4	-2731.0109225070796	5.405791169412853
48	-2731.010081299528	-2726.060551530091	5.5	-2731.010081299528	4.949529769436877
