Sample	posterior	ESS(posterior)	likelihood	prior	
0	-2735.8906882929227	2.7	-2740.7342620975055	4.843573804582762	
1	-2731.716693818447	2.9	-2737.8759485034157	6.159254684968987	
2	-2731.716693818447	2.9	-2737.8759485034157	6.159254684968987	
3	-2732.095534975874	3.0	-2737.7976237751914	5.702088799317219	
4	-2733.6749766534385	3.1	-2737.1624504932247	3.4874738397860767	
5	-2731.286771860739	3.2	-2735.711052590897	4.424280730157781	
6	-2728.955659824989	3.3	-2733.5888715856345	4.633211760645473	
7	-2729.2164522053627	3.4	-2733.508747285962	4.292295080599225	
8	-2729.2164522053627	3.4	-2733.508747285962	4.292295080599225	
9	-2728.36664764717	3.6	-2732.373565680378	4.006918033207958	
