Sample	NSlikelihood	posterior	ESS(posterior)	likelihood	prior
0	-10567.546431246532	-10575.76409459973	N	-10567.546431246532	-8.217663353197336
1	-9826.357104289556	-9838.3293846844	2.0	-9826.357104289556	-11.972280394844557
2	-8741.094291416599	-8749.621726195213	3.0	-8741.094291416599	-8.527434778614458
3	-8365.311466830952	-8382.36094031603	4.0	-8365.311466830952	-17.049473485078877
4	-8326.409104370334	-8339.21411008441	3.5	-8326.409104370334	-12.8050057140754
5	-8323.38983542326	-8349.915240006228	3.1	-8323.38983542326	-26.525404582967887
6	-8323.18013102862	-8353.532135801039	3.2	-8323.18013102862	-30.352004772419537
7	-8320.673855640345	-8338.857530779509	3.5	-8320.673855640345	-18.18367513916356
8	-8317.550154865836	-8336.68827346426	3.8	-8317.550154865836	-19.138118598423873
9	-8317.281448125277	-8340.4753686869	6.0	-8317.281448125277	-23.193920561623177
10	-8316.123238846383	-8338.60300312568	6.5	-8316.123238846383	-22.479764279296948
11	-8315.677022290203	-8337.659463567225	7.1	-8315.677022290203	-21.982441277020502
12	-8315.236912280863	-8342.845290575537	7.7	-8315.236912280863	-27.608378294672878
13	-8315.20488684052	-8333.870687800278	8.3	-8315.20488684052	-18.66580095975769
14	-8314.853079671153	-8336.15314972891	8.9	-8314.853079671153	-21.300070057758475
15	-8313.826688148389	-8329.277251950247	9.5	-8313.826688148389	-15.450563801858738
16	-8313.53086913745	-8334.171281028683	10.1	-8313.53086913745	-20.64041189123216
17	-8313.304064367778	-8338.110061177393	10.7	-8313.304064367778	-24.805996809615806
18	-8313.212480940745	-8331.728595753346	11.3	-8313.212480940745	-18.516114812601305
19	-8312.883558293724	-8330.458818928266	13.6	-8312.883558293724	-17.575260634541824
20	-8311.873711305288	-8327.404017742167	14.1	-8311.873711305288	-15.530306436877904
21	-8311.699966892756	-8330.028908048778	14.7	-8311.699966892756	-18.32894115602213
22	-8311.631487309749	-8330.08833193717	15.2	-8311.631487309749	-18.456844627420463
23	-8310.938373855743	-8325.147981946147	15.7	-8310.938373855743	-14.209608090404958
24	-8310.902312340455	-8327.011076918337	16.2	-8310.902312340455	-16.10876457788214
25	-8310.447454750552	-8326.58469991995	16.7	-8310.447454750552	-16.137245169397325
26	-8310.384351521887	-8329.804878127941	17.3	-8310.384351521887	-19.42052660605463
27	-8310.351942363262	-8327.616306469665	17.8	-8310.351942363262	-17.26436410640183
28	-8310.267667111628	-8330.205261937263	18.2	-8310.267667111628	-19.93759482563495
29	-8310.26515626774	-8327.571863853453	4.9	-8310.26515626774	-17.30670758571274
30	-8310.263707087193	-8331.57957419993	4.9	-8310.263707087193	-21.315867112736036
31	-8310.261817803987	-8325.935009421048	4.9	-8310.261817803987	-15.673191617061313
32	-8310.256939119368	-8326.739268601226	4.9	-8310.256939119368	-16.482329481857512
33	-8310.215511467846	-8329.042787430999	4.9	-8310.215511467846	-18.827275963153063
