Sample	posterior	ESS(posterior)	likelihood	prior
0	-11644.837142940343	N	-11637.49727848282	-7.339864457522101
1000	-8333.059264896656	2.0	-8315.987180222426	-17.07208467423038
2000	-8331.165498402597	3.0	-8315.069070366555	-16.09642803604156
3000	-8330.803415373957	4.0	-8315.585015851217	-15.21839952274016
4000	-8324.870118797027	5.0	-8312.27261936597	-12.597499431057752
5000	-8326.983793054209	6.0	-8312.278509020696	-14.705284033511816
6000	-8326.168237610924	7.0	-8313.592957036706	-12.575280574217615
7000	-8330.845644814322	8.0	-8313.277508156682	-17.568136657640565
8000	-8336.614564986901	9.0	-8316.369337165374	-20.245227821527195
9000	-8338.406469443014	4.1	-8316.381397050998	-22.025072392015865
10000	-8334.073134649	3.7	-8315.971841534534	-18.101293114465655
11000	-8339.761818010966	3.5	-8318.645537128643	-21.11628088232252
12000	-8343.248702669847	3.6	-8318.639598102747	-24.609104567099504
13000	-8338.635337201433	3.2	-8316.679284119287	-21.956053082144653
14000	-8334.501972294069	3.3	-8316.417492588589	-18.08447970547988
15000	-8343.058339674826	3.2	-8318.639598573383	-24.418741101442386
16000	-8342.221974944165	3.1	-8318.376278755844	-23.84569618831951
17000	-8335.318731802949	3.3	-8316.361784084764	-18.956947718184228
18000	-8344.042673794382	3.5	-8316.12510317771	-27.917570616671284
19000	-8340.181534344925	3.5	-8316.115359831218	-24.066174513706823
20000	-8338.104296910089	3.6	-8316.080374255045	-22.023922655043478
21000	-8339.536938209261	3.8	-8315.909580340078	-23.627357869183033
22000	-8336.809313210286	4.0	-8316.911333314107	-19.897979896179827
23000	-8330.23459071877	4.5	-8315.130817562409	-15.103773156361108
24000	-8334.505020494558	4.7	-8315.856046814584	-18.64897367997343
25000	-8339.527291382165	5.1	-8316.806949263244	-22.720342118921195
26000	-8339.458172913453	5.5	-8315.353093978641	-24.10507893481271
27000	-8334.222349500826	5.7	-8316.100624014165	-18.121725486660583
28000	-8334.30606346906	6.0	-8314.993851523031	-19.312211946028224
29000	-8338.917204833153	6.7	-8315.457453494413	-23.459751338740013
30000	-8330.283855775831	7.2	-8313.351796294362	-16.932059481468528
31000	-8338.414722278107	7.7	-8315.457500081391	-22.95722219671558
32000	-8341.07890281754	8.3	-8315.457500066166	-25.621402751375136
33000	-8339.780260018986	8.7	-8315.365691033185	-24.414568985801615
34000	-8336.428939549418	9.0	-8315.237959135811	-21.190980413607246
35000	-8338.572190943387	9.2	-8315.155051121095	-23.417139822292036
36000	-8339.295774902683	9.3	-8315.654678820447	-23.641096082236462
37000	-8339.899668490678	9.6	-8316.198955058046	-23.700713432632647
38000	-8336.405474183497	9.9	-8315.331052228106	-21.074421955390267
