"","site_model_name","clock_model_name","tree_prior_name","marg_log_lik","marg_log_lik_sd","weight","ess"
"1","GTR","relaxed_log_normal","birth_death",-7939.5320273777,6.21147900539548,5.75628141194056e-14,11.1812351487673
"2","GTR","relaxed_log_normal","yule",-7927.92117707495,4.83778262578495,0.0000000063484869936943,8.43351436125454
"3","GTR","strict","birth_death",-7944.84147158268,5.77425250736408,2.84629360669601e-16,8.98044526908374
"4","GTR","strict","yule",-7965.45968658101,8.55029802825258,3.16156923486016e-25,6.84274410200694
"5","HKY","relaxed_log_normal","birth_death",-7918.51263517121,3.97599284515727,0.0000774012662717914,5.59891630130924
"6","HKY","relaxed_log_normal","yule",-7923.83666144291,4.84510518356243,0.000000377183628774868,7.79825121058465
"7","HKY","strict","birth_death",-7929.8847058594,4.73978292280731,0.000000000891087841660545,6.69955202134307
"8","HKY","strict","yule",-7928.94928164358,5.74742904223559,0.00000000227075402780853,8.4630743659616
"9","JC69","relaxed_log_normal","birth_death",-7926.63851910636,4.34290493674026,0.0000000228939912291611,8.8883408145943
"10","JC69","relaxed_log_normal","yule",-7909.0464820307,3.13048594953761,0.999645785856853,4.84680538148963
"11","JC69","strict","birth_death",-7922.485682442,4.45872675244561,0.0000014563828618384,7.74298168737472
"12","TN93","relaxed_log_normal","birth_death",-7917.24506171579,3.27195284808573,0.000274946517237675,8.94423110605655
"13","TN93","relaxed_log_normal","yule",-7935.62927857545,5.60808527040419,2.85157163820848e-12,11.1441462474909
"14","TN93","strict","birth_death",-7935.27781508473,5.26371103103964,4.05249923156091e-12,10.1202151322702
"15","TN93","strict","yule",-7930.73208220291,5.54600639753541,0.000000000381864818164812,8.11357781096596
