Sample	posterior	ESS(posterior)	likelihood	prior
0	-10206.619261427955	N	-10204.358695738558	-2.2605656893968855
1000	-7457.433093599645	2.0	-7447.792891356334	-9.640202243311037
2000	-7457.728564970689	3.0	-7449.782753481065	-7.945811489624294
3000	-7458.19469548588	4.0	-7450.949265171107	-7.245430314773504
4000	-7459.432923173429	5.0	-7448.620608208124	-10.812314965304825
5000	-7458.156037801122	6.0	-7449.988667922415	-8.167369878707504
6000	-7461.377836261693	7.0	-7450.825146138417	-10.552690123275951
7000	-7457.6280176959945	8.0	-7449.6185723739845	-8.009445322010134
8000	-7458.499487946074	9.0	-7449.8430518742425	-8.656436071830935
9000	-7456.810410511633	6.6	-7448.643424632703	-8.166985878930184
10000	-7459.224714078344	9.2	-7451.2031870976925	-8.021526980651062
11000	-7463.721427423346	11.0	-7453.608124814394	-10.113302608952138
12000	-7461.590161999924	9.0	-7449.007102553914	-12.583059446009946
13000	-7462.8229924229645	5.8	-7452.89376647	-9.929225952964995
14000	-7461.607890887538	5.5	-7449.078989077837	-12.528901809701136
15000	-7458.936985980146	6.2	-7448.310696955459	-10.626289024686796
16000	-7457.252044605978	7.2	-7448.82196772203	-8.430076883947688
17000	-7465.884017550585	12.5	-7456.69811624116	-9.18590130942491
18000	-7461.932624733644	12.2	-7449.379007708467	-12.553617025176973
19000	-7460.396208648742	13.2	-7449.616046738423	-10.78016191031794
20000	-7459.0202208497885	14.4	-7449.035414972523	-9.984805877266119
21000	-7463.564352653118	9.5	-7456.07133792037	-7.493014732747587
22000	-7457.86873248546	11.8	-7448.992467305957	-8.876265179503152
23000	-7456.7478928385535	17.0	-7448.33109277461	-8.41680006394349
24000	-7459.971352700618	17.8	-7449.168715797808	-10.802636902810333
25000	-7458.955637008771	18.1	-7448.918585456833	-10.03705155193812
26000	-7457.401636873127	15.8	-7448.5218067698	-8.879830103327501
27000	-7461.2520797108145	18.4	-7452.93344664994	-8.318633060874118
28000	-7459.030304786215	18.8	-7448.189580756147	-10.840724030068685
29000	-7464.630520530543	25.0	-7453.246456136261	-11.384064394282383
30000	-7458.755376278614	28.0	-7449.39472777445	-9.360648504163581
